date,year,month_num,month,inflation_type,source_type,value
1991-01-01,1991,1,январь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,104.6
1991-01-01,1991,1,январь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,109.0
1991-01-01,1991,1,январь,services,Индексы потребительских цен на услуги по Российской Федерации,103.2
1991-01-01,1991,1,январь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,106.2
1991-02-01,1991,2,февраль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.1
1991-02-01,1991,2,февраль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.9
1991-02-01,1991,2,февраль,services,Индексы потребительских цен на услуги по Российской Федерации,105.2
1991-02-01,1991,2,февраль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.8
1991-03-01,1991,3,март,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,105.2
1991-03-01,1991,3,март,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,104.6
1991-03-01,1991,3,март,services,Индексы потребительских цен на услуги по Российской Федерации,105.5
1991-03-01,1991,3,март,total,Индексы потребительских цен на товары и услуги по Российской Федерации,106.3
1991-04-01,1991,4,апрель,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,171.8
1991-04-01,1991,4,апрель,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,170.5
1991-04-01,1991,4,апрель,services,Индексы потребительских цен на услуги по Российской Федерации,121.5
1991-04-01,1991,4,апрель,total,Индексы потребительских цен на товары и услуги по Российской Федерации,163.5
1991-05-01,1991,5,май,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,100.5
1991-05-01,1991,5,май,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.4
1991-05-01,1991,5,май,services,Индексы потребительских цен на услуги по Российской Федерации,103.9
1991-05-01,1991,5,май,total,Индексы потребительских цен на товары и услуги по Российской Федерации,103.0
1991-06-01,1991,6,июнь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,99.7
1991-06-01,1991,6,июнь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,102.2
1991-06-01,1991,6,июнь,services,Индексы потребительских цен на услуги по Российской Федерации,103.5
1991-06-01,1991,6,июнь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,101.2
1991-07-01,1991,7,июль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,97.2
1991-07-01,1991,7,июль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,102.8
1991-07-01,1991,7,июль,services,Индексы потребительских цен на услуги по Российской Федерации,104.4
1991-07-01,1991,7,июль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,100.6
