model,dataset,mae,mse,rmse,r2,mape_idx
huber,holdout_2025,0.38013833756737575,0.3104444014415028,0.5571753776339213,0.22154950601735302,0.37798450088223945
gradient_boosting,holdout_2025,0.41821102671709953,0.35564817908868523,0.5963624561361028,0.10819940894381452,0.415952012778933
naive_lag_12,holdout_2025,0.44666666666666605,0.38874166666666515,0.6234915129066836,0.025216299462481828,0.444937031952843
rolling_12,holdout_2025,0.4932465277777786,0.4490623119212958,0.6701211173521514,-0.12603988643677444,0.4915792366396198
naive_lag_1,holdout_2025,0.5389583333333325,0.6677312499999983,0.8171482423648713,-0.6743601076281427,0.5357830596236273
rolling_3,holdout_2025,0.5408333333333294,0.505109259259254,0.7107103905665472,-0.266579621213322,0.5378402965229383
ridge,holdout_2025,3.4163095894350755,12.624111970630864,3.553042635633699,-30.65541447679028,3.4000938653715416
linear_regression,holdout_2025,4.191660898073138,17.96989790215951,4.239091636442825,-44.06016482758087,4.169510962904119
naive_lag_12,recent_actual,0.2641666666666656,0.10279166666666645,0.3206113950979697,0.7355822478188494,0.2611082025011766
huber,recent_actual,0.3161868091452052,0.18803154837382005,0.4336260466967132,0.5163141043196087,0.311652215802051
gradient_boosting,recent_actual,0.449394544538886,0.30556984912991136,0.5527837272658371,0.21396261719077758,0.44329991866161
rolling_12,recent_actual,0.5202083333333315,0.5610137152777792,0.7490084881213157,-0.443132408948975,0.5119531455016157
rolling_3,recent_actual,0.5502777777777735,0.7459342592592506,0.8636748573735666,-0.918815663801311,0.5414277241443332
naive_lag_1,recent_actual,0.8033333333333346,1.0614333333333335,1.0302588671461816,-1.7303946437630797,0.792100382147211
ridge,recent_actual,2.965160868944336,11.845565031876944,3.44173866408781,-29.47112456306005,2.9434085485863615
linear_regression,recent_actual,4.498244786715255,20.36154942940721,4.512377358932563,-51.377350281792516,4.4556527549797975
gradient_boosting,test_2023_2024,0.3699183267310504,0.26910121479364796,0.5187496648612392,0.062257007440213674,0.36664360435892873
huber,test_2023_2024,0.39539304611065956,0.3012425182807941,0.5488556443007525,-0.049746508188360794,0.39144149392957683
naive_lag_1,test_2023_2024,0.3966666666666658,0.3268374999999995,0.5716970351506114,-0.13893791065113148,0.3936203628147968
rolling_3,test_2023_2024,0.40871527777777744,0.3191434027777787,0.5649277854538389,-0.11212611881383339,0.4050682961696168
rolling_12,test_2023_2024,0.41302083333333295,0.3222616753472231,0.5676809626429471,-0.12299243263976778,0.4092221256428887
naive_lag_12,test_2023_2024,0.8098958333333321,2.9173052083333317,1.7080120632868292,-9.165998389752808,0.8049928930126989
ridge,test_2023_2024,3.4172796844981135,12.331111691444695,3.5115682666644394,-41.970499363934,3.3923144250827826
linear_regression,test_2023_2024,4.234598683912279,18.559252792191884,4.308045124205628,-63.67384127704206,4.203665082078716
gradient_boosting,val_2019_2022,0.48620679597048655,1.2778851582712456,1.1304358266930705,0.12030653839966243,0.4746630544821124
huber,val_2019_2022,0.5287240273907179,1.3987361530879852,1.1826817632347195,0.0371129671463557,0.5164136172332802
naive_lag_12,val_2019_2022,0.5457291666666653,1.3910041666666657,1.1794083968950984,0.04243565037496355,0.5329016564659473
naive_lag_1,val_2019_2022,0.5680729166666664,2.1160984374999994,1.454681558795601,-0.45671772422002865,0.5551700583528287
rolling_12,val_2019_2022,0.6045920138888878,1.553221368634256,1.246283021080788,-0.06923433108333943,0.5928483446167465
rolling_3,val_2019_2022,0.6450694444444425,1.8558814814814781,1.3623074107856414,-0.2775849177034304,0.6332982697730888
ridge,val_2019_2022,2.723418594959495,9.057959081157051,3.009644344628955,-5.23548002538575,2.694964891773342
linear_regression,val_2019_2022,3.5334927619080774,14.972358209377768,3.869413160852401,-9.306939975221193,3.4999531366430627
